S. No.,QUESTIONS,OPTION-A,OPTION-B,OPTION-C,OPTION-D,CORRECT ANSWER,,,,,
41,What is a Turing machine?,Abstract machine,Grammar,Machine code,Pseudo code,A,,,,,
42,Define context-free grammar.,Set of rules,Symbol replacement,Variable substitution,Text generation,A,,,,,
43,What is a finite automaton?,Finite states,Infinite states,Fixed states,Recursive states,B,,,,,
44,Explain the halting problem.,Undecidable problem,Decidable problem,Infinite loop problem,Finite state machine,A,,,,,
45,Define regular expressions.,Pattern matching,Text patterns,Logical sequence,Lexical analysis,A,,,,,
46,What is pumping lemma?,Regular language test,Context-free test,Non-regular language,Finite language test,B,,,,,
47,Define Chomsky hierarchy.,Classifies languages,Organizes languages,Hierarchy types,Level ordering,A,,,,,
48,What is a pushdown automaton?,Stack automaton,Non-deterministic,Stack machine,Non-terministic type,A,,,,,
49,Explain the concept of NP-completeness.,P-complete problems,Solvable in P,Unsolvable in P,Intractable problem,D,,,,,
50,Define decidability.,Decision problem,Undecidable in TM,Set of instructions,String manipulation,B,,,,,
51,What is process scheduling?,Allocating CPU,CPU management,Load balancing,Job scheduling,A,,,,,
52,Define deadlock in operating systems.,Resource allocation issue,Deadlock detection,Memory overflow,Deadlock prevention,A,,,,,
53,Explain memory management.,Storing data in memory,Load pages,Memory cleanup,Virtual memory,C,,,,,
54,What is a page replacement algorithm?,Replace memory page,Clear page faults,Page access,Page replacement,C,,,,,
55,Define virtual memory.,Secondary storage,Random access memory,Temporary memory,Permanent storage,A,,,,,
56,What is a semaphore?,Process signaling,Signaling process,Synchronization,Job control,A,,,,,
57,Define mutual exclusion.,Ensures safety,Prevent race condition,Race condition,Priority inversion,A,,,,,
58,What is a thread?,Light-weight process,Heavy-weight process,Virtual thread,Main process,A,,,,,
59,Explain inter-process communication.,Between processes,Exchange data,Data swapping,Task switching,D,,,,,
60,What is context switching?,CPU swapping,Process switching,User switch,Kernel switch,A,,,,,
61,What is a file system?,Manage files,Organize files,Organize folders,Manage systems,B,,,,,
62,Define multitasking.,Simultaneous tasks,Multi-user tasks,Multiple processes,Multiple threads,C,,,,,
63,What is a system call?,OS function,Hardware call,I/O process,Network call,C,,,,,
64,Define paging in memory.,Virtual memory method,Page table,Memory partition,Memory allocation,C,,,,,
65,What is segmentation?,Segment method,Dividing memory,Shared memory,Process split,A,,,,,
66,What is normalization?,Reduce redundancy,Eliminate NULLs,Data sorting,Data isolation,B,,,,,
67,Define SQL JOIN operation.,Combining tables,Select subset,Data merging,Column match,D,,,,,
68,What is an index in a database?,Database index,Primary key,Secondary key,Schema,A,,,,,
69,Explain ACID properties.,Atomicity,Consistency,Reliability,Durability,A,,,,,
70,Define primary key.,Unique identifier,Data uniqueness,Non-repetitive field,Repeated field,A,,,,,
71,What is a foreign key?,Foreign table link,Link to other table,Restrict values,Data reference,A,,,,,
72,Define relational schema.,Table schema,Table structure,Schema structure,Table ordering,C,,,,,
73,What is data redundancy?,Duplicate data,Data inconsistency,Data anomaly,Data lag,B,,,,,
74,Explain transaction in database.,Single database action,Data grouping,Multi-database action,Commit action,C,,,,,
75,What is referential integrity?,Consistency enforcement,Foreign dependency,Linking records,Consistent data,A,,,,,
76,Define entity-relationship model.,ERD,Data model,Object-oriented model,Object mapping,B,,,,,
77,What is SQL?,Query language,Data manipulation,Programming language,Data language,D,,,,,
78,Define functional dependency.,Functional constraint,Dependency relation,Dependency type,Non-key dependency,B,,,,,
79,What is a database trigger?,Database automation,Automate triggers,Condition validation,Automatic trigger,B,,,,,
80,Define data abstraction.,Hiding complexities,Level of detail,Info hiding,Layered architecture,A,,,,,
81,What is IP addressing?,Unique address,Unique port,Host identifier,Protocol identification,A,,,,,
82,Define TCP/IP model.,Layered architecture,Protocol stack,Transport layer,ISO layers,A,,,,,
83,What is network topology?,Physical arrangement,Data flow,Topology view,Network diagram,C,,,,,
84,Explain OSI model layers.,Layer separation,Logical separation,Data isolation,Protocol division,A,,,,,
85,Define DNS in networking.,Domain name system,Internet standard,Network name,Digital identifier,D,,,,,
86,What is HTTP?,Data protocol,Text transfer,Hyperlink,Text protocol,B,,,,,
87,Define FTP.,File protocol,Data retrieval,Transfer protocol,Secure FTP,A,,,,,
88,What is a firewall?,Network security,Protects network,Firewall block,Hardware filter,A,,,,,
89,Explain NAT in networking.,Private IP mapping,Port address translation,Network address translation,Subnetting,B,,,,,
90,What is an IP subnet?,Network division,Host division,Address mask,Subnet mask,C,,,,,
91,Define bandwidth in networking.,Data transfer rate,Signal speed,Data speed,Link capacity,C,,,,,
92,What is a MAC address?,Unique identifier,Physical address,Hardware address,Digital ID,D,,,,,
93,Define packet switching.,Packet forwarding,Traffic management,Frame relay,Stream sharing,A,,,,,
94,What is routing protocol?,Path selection,Data path,Forwarding protocol,RIP protocol,B,,,,,
95,Explain UDP protocol.,Transport layer protocol,Application protocol,Connectionless service,Reliable transfer,A,,,,,
96,Define DHCP.,Dynamic addressing,IP allocation,Network lease,MAC filtering,A,,,,,
97,What is VPN?,Secure connection,Anonymous access,Secure tunneling,Public key encryption,B,,,,,
98,Define port forwarding.,Internet access,Packet filtering,Network firewall,Data relay,D,,,,,
99,What is multicast?,Multiple recipients,Point-to-multipoint,Broadcast,Subnet,A,,,,,
100,Explain ICMP protocol.,Error reporting,Network diagnostics,Connection test,Loop detection,,,,,,
